place,태그
달성 현풍 석빙고,조선시대의 화강석제 얼음창고 석빙고 경상권 관광지 역사 역사공부 역사관광지 역사를품은곳 역사속 역사속으로
수성구민운동장,구민 건강 지킴이 역할을 하는 운동장 가족과함께 대구 대구가볼만한곳 레포츠 수성구민운동장 운동장 운동하기좋은
고모역복합문화공간,미래를 이야기하는 문화 플랫폼역 문화공간 고모역 고모역복합문화공간 뉴트로_감성여행 대구 대구가볼만한곳
대구 구암동 고분군,신라시대 칠곡지역의 수장층 무덤 관광지 구암동고분군 대구가볼만한곳 대구여행 수장층무덤 자연풍경
엑스코(EXCO),사람과 정보 서비스가 모이는 국제 전시컨벤션센터 exco 대구가볼만한곳 대구광역시 문화시설 북구 전시관 전시컨벤션센터
낙빈서원,사육신을 배향하기 위해 세운 조선 후기 서원 관광지 달성가볼만한곳 대구여행 묘골마을 사육신기념관 서원 역사
인흥서원,명심보감 판본을 품은 조선시대의 서원 관광지 노당추적사당 달성가볼만한곳 대구여행 명심보감판본 역사 역사관광지
진밭골야영장,도심 속에서 다양한 형태의 캠핑을 즐길 수 있는 접근성 좋은 야영장 가족과함께 대구야영장 레포츠 오토캠핑 카라반
달성 삼가헌 고택,아름다운 연꽃잎 정자 하엽정을 품은 고택 가족여행 관광지 달성삼가헌고택 묘골고택 역사 역사관광지 연꽃
사효자굴,사형제의 깊은 효심이 담긴 전설이 전해지는 동굴 관광지 달성가볼만한곳 대구여행 비슬산사효자굴 사형제굴 사효자굴
남지장사,최정산 중턱의 숲길이 아름다운 사찰 관광지 남지장사 남지장사벚나무 달성가볼만한곳 백련암 불교문화 석조석가여래삼존좌상
진주강씨모열각,진주 강씨의 열행을 표창하여 건립한 비각 관광지 달성가볼만한곳 대구여행 모열각 역사 역사관광지 진주강씨부인
도성암(달성),경상북도 수행도량 중 하나인 도성암 관광지 달성가볼만한곳 달성도성암 대구여행 역사 자연풍경 자연환경
노사평화의 전당,노사상생을 위한 문화공간 가족단위나들이 노동교육체험관 노동산업역사관 노동을알기쉽게 노사관계를올바르게
달성 조길방 고택,주택 발달사 연구 자료인 삼량 구조로 결구 된 초가 고택 관광지 교과서속여행 달성가볼만한곳 대구여행 역사 역사관광지
패션주얼리전문타운,주얼리 구입은 물론 직접 제작도 해 볼 수 있는 이색 체험 공간 기획전시 남녀노소 대구귀금속가공타운 대구주얼리타운 대구쥬얼리쇼핑
운암지 수변공원,대구 도심 속 함지산 아래 펼쳐진 아름다운 수변공원 걷기길 경상권 관광지 대구공원 대구북구수국명소 대구수변공원 산책길
육신사,묘골마을 육신사 사육신을 기리는 사당 2024_여행가는달과함께하는_발도장여행지 관광지 달성가볼만한곳 대구여행
팔현생태공원,대구의 숨은 유채꽃 명소 관광지 대구_여행지_추천 대구가볼만한곳 대구권 봄꽃여행지 유채꽃
진밭골산림공원,도심 속 힐링과 휴양 관광지 대구공원 대구나들이 대구등산 대구산책 대구여행 산책로
함지근린공원,북구에서 가장 큰 규모의 생활공원 관광지 대구가족여행 대구공원 대구나들이 대구산책 대구여행
공항교강변공원,아름다운 풍경을 만끽할 수 있는 공원 관광지 도심산책 산책길 산책코스 산책하기 산책하기좋은곳 자연좋은곳
연암공원,걸으며 힐링하기 좋은 공원 관광지 대구가족여행 대구공원 대구등산 대구산책 대구여행
옻골동산,산책하기 좋은 도심 속 공원 관광지 대구공원 대구산책 대구여행 옻골공원 옻골동산
내곡 모감주나무군락,다른 지역보다 크고 오래된 대구의 모감주나무 관광지 대구광역시기념물 모감주나무군락 자연관광지
봉무공원,도심 속 시민들의 아늑한 휴식공간 관광지 산책길 산책하기 자연좋은곳 자연환경 휴식공간 휴식하기좋은곳
동대구역광장,대구시민을 위한 힐링 공간 관광지 대구공원 대구광장 대구나들이 대구산책 대구여행
대구 도동 측백나무 숲,향산 절벽에 군락을 이루고 있는 천연기념물 측백나무 숲 관광지 달성측백수림 대구10경 대구천연기념물 도동측백수림 문화관광해설사
사문진피크닉장,대구 은행나무 피크닉 명소 가족과함께 관광지 사문진 소풍 아이와함께 피크닉 힐링
대봉배수지,대구광역시 최초의 수도 시설이었던 등록문화재 관광지 등록문화재251호 배봉공원 배수지 상수도사업소 수도견학프로그램
일연공원,차박을 즐기는 사람과 물놀이를 즐기는 가족단위 여행객이 많은 곳 가족여행 관광지 군위댐 군위여행 군위여행추천 노지캠핑 일연스님
창평지 친환경 생태공원,창평지를 눈에 담으며 산책하기 좋은 곳 공연프로그램 관광지 군위군 역사여행 역사체험 이야기마을 체험학습
군위 삼국유사 테마파크,삼국유사 속 콘텐츠를 주제로 한 테마파크 문화공간 가볼래터 관광지 군위가볼만한곳 군위군 군위여행 삼국유사
"현풍장 (5, 10일)",전통시장과 청년몰을 함께 만나볼 수 있는 문화관광형 시장 가족여행 경상권 기차여행 나들이 나홀로여행 먹거리 쇼핑 시장맛집
신미화랑,대구 예술의 거리 봉산동에 위치한 문화명소인 갤러리 대구갤러리신미 대구봉산동화랑거리 대구신미화랑 대구화랑 문화공간
계성중학교,근대 건축물을 만날 수 있는 대구 명소 대구 대구가볼만한곳 대구명소 문화시설 뮤직비디오촬영지
경북대학교 미술관,근현대 미술품 중심의 미술관 공공미술관 대구미술관 대학미술관 문화시설 장르통합미술관 현대미술전시
현풍곽씨십이정려각,현풍곽씨 가문에 포상된 12기의 정려를 한곳에 모아 놓은 정려각 관광지 역사 역사공부 역사관광지 역사를품은곳 역사문화재 역사속
만촌자전거경기장,공원에서 나들이도 하고 자전거타기도 가능한 장소 대구만촌경기장 대구사이클링 대구자전거경기장 대구자전거타기 레포츠
다사체육공원,맑은 공기속에서 피크닉도 즐길 수 있는 종합체육공원 다사야외공연장 다사테니스장 달성군다사축구장 달성군체육공원 달성군축구장
선원공원,와룡산 숲에서 숲체험도 하고 신나는 놀이 탐험도 즐겨요 개구리소년추모비 관광지 대구숲짚라인 숲무료놀이기구 숲속놀이터 와룡산공원
두류정수장후적지,옛날 정수장이었던 곳이 공원이되다 공원 관광지 달서구 대구여행 두류정수장후적지 듀류정수장
팜다원,다양한 다육이를 관찰하거나 구입할 수 있는 도심속 힐링 정원&카페 관광지 녹색치유농장 다육이교육농장 대구정원카페 대구체험농장 대구팜다원
달구벌승마공원,가족 나들이 승마체험과 동물 체험이 동시에~ 대구가족나들이 대구동물체험 대구승마레슨 대구재활승마 대구키즈승마
대구 고모령비,비 내리는 고모령의 배경이 된 장소에 세워진 노래비 걷기 고모령비 고모역 관광지 대구가볼만한곳 대구노래비 비내리는고모령
꽃보라동산,도심 속에 위치한 벚꽃명소 동산 관광지 대구가볼만한곳 대구벚꽃 데이트코스 벚꽃명소 봄에가기좋은곳
송호지공원,힐링할 수 있는 조용하고 한적한 공원 가족과함께 관광지 대구가볼만한곳 대구송호지공원 산책하기좋은곳 송호지
송해둘레길,옥연지 일대의 자연을 즐기며 걷는 힐링로드 레포츠 송해공원 송해공원능선길 송해공원둘레길 송해공원보름달 송해공원출렁다리
앞산 케이블카(앞산 전망대),대구 도심 속 케이블카 2024_여행가는달과함께하는_발도장여행지 가족과함께 경치좋은곳 경치좋은곳
공간울림,하우스콘서트를 기원으로 한 전문예술단체이자 연주홀&공연장 대구공간울림 대구공연장 대구하우스콘서트 문화시설 수성구공연극장
호수농원,즐겁고 재미있는 농촌 체험관 가족농촌체험 관광지 농부의진심 농촌쿠킹체험 단체농촌체험 대구농촌체험
한밤마을돌담길,천년을 이어온 전통마을에서의 돌담길 산책 관광지 군위가볼만한곳 군위여행 군위한밤마을 군의대율리대청 남천고택
한영아트센터,예술을 사랑하는 사람들의 복합문화 예술공간 대구갤러리노마 대구공연장 대구수성구연회장 대구종박물관 대구축음기박물관
아르떼수성랜드 아이스링크,사계절 스케이팅과 놀이 공원에서 즐길 수 있는 곳 대구스케이트장 대구아이스링크 레포츠 수성구실내스케이트장 수성랜드아이스링크
대구삼성라이온즈파크,경관 조명색으로 승패를 알 수 있는 삼성라이온즈의 홈구장 대구야구장 라이온즈파크 라팍 레포츠 삼성라이온즈대구 삼성라이온즈홈구장
FXCO (펙스코),대구 최초 컨테이너 ‘복합-패션-문화 공간’ 가볼래터 가족과함께 관광지 대구가볼만한곳 대구쇼핑 쇼핑몰 아이와함께
대구 중구문화원,지역사회 보존과 문화활동을 하는 비영리 문화 예술 단체 경상권 대구중구문화원 문화 문화시설 문화원 사계절 실내여행지
이천동 99계단 벽화마을,시멘트 담장이 아름다운 벽화로 바뀐 마을 99계단 감성사진 관광지 대구가볼만한곳 대구벽화마을 데이트코스
이태원길(대구),칠곡의 소설가 이태원을 기리는 거리 관광지 문화관광해설사
대구약령시 한방의료체험타운,대구약령시의 활성화와 한의학의 우수성을 알리는 곳 가족과함께 건강여행 관광지 대구여행 대구여행지추천 대구여행코스
대구 북구문화원,다양한 아카데미강좌로 문화생활의 품위를 높여주는 장 경상권 대구북구문화원 대구북구문화특강 대구아트센터 대구역사문화탐방
현풍 500년 느티나무 테마공원,고속도로 휴게소에서 느티나무를 바라보며 소원을 빌어보자 500년느티나무공원 가족여행 걷기길 경상권 관광지 구마고속도로역사관
대구 평화시장,동대구역 부근에 위치한 닭똥집 골목 시장 2024_여행가는달과함께하는_발도장여행지 가족여행 나들이 닭똥집골목
대구 약령시 한의약박물관,약령시 사람들의 삶을 직접 보고 느낄 수 있는 박물관 경상권 관광지 대구가볼만한곳 대구약령시한의약박물관 문화관광해설사
최정산,비슬산과 형제산이자 가을 단풍이 아름다운 곳 경치여행 경치좋은곳 관광지 등산 등산객 자연 자연관광지 자연속으로
두류수영장,시민에게 사랑받는 복합 레저문화공간 대구수영장 대구워터파크 두류수영장 두류워터파크 레포츠
달창지 벚꽃길,분홍색 벚꽃이 휘날리는 길 관광지 대구데이트코스 대구벚꽃 대구산책 대구여행 대구포토존
앞산자락길,누구나 편안하게 걸을 수 있도록 조성된 길 고산골메타쉐콰이어길 대구남구 레포츠 산책 산책코스
동대구시장,역사가 깊은 시장 대구가볼만한곳 대구먹거리골목 대구여행 동대구시장 쇼핑 청춘장
라움아틀리에,체험이 가능한 도자기&주얼리 공방 대구도자기공방 대구도자기체험 대구동성로공방 대구라움아틀리에 쇼핑
대구칠곡시장,가성비 좋고 푸짐한 시장 대구가볼만한곳 대구시장 대구여행 대구칠곡시장 쇼핑
목련시장,실내형 점포 시장 대구나들이 대구쇼핑 대구시장 대구시장여행 대구여행 쇼핑 시장무료배달
경북대학교박물관,경북지역의 중추적인 문화시설 경북대학교 박물관 경북대야외박물관 경북대학교박물관 경상권 대구경북대박물관 문화시설
MRNW,자연과 건축이 어우러진 이상적인 공간 2024_여행가는달과함께하는_발도장여행지 mrnw 가볼래터 가볼래터
가창 찐빵 골목,방송에도 출연하는 찐빵집이 다수 모여 모락모락 김이나는 골목 가창만두 가창모락모락찐빵길 가창찐빵골목 경상권 관광지 남녀노소
국채보상운동기념공원,과거를 통해 미래를 배우는 국채보상운동기념공원 2024_여행가는달과함께하는_발도장여행지 가족여행 걷기길 경상권 관광지
김원일의 마당깊은 집,50년대의 대구를 만날 수 있는 장소 관광지 김원일 대구가볼만한곳 대구여행 마당깊은집 문화공간 전시시설
자연염색박물관,우리 고유의 자연 염색의 우수성을 알리기 위한 곳 겨울방학가볼만한곳 경상권 문화시설 박물관 아이와함께 여름방학가볼만한곳
팔공산하늘정원,팔공산의 아름다운 전경을 바라볼 수 있는 공원 공연프로그램 관광지 군위군 역사여행 역사체험 이야기마을 체험학습
대구 서문시장 & 서문시장 야시장,대구장에서 야시장까지 2024_여행가는달과함께하는_발도장여행지 21_22한국관광100선 23_24한국관광100선
월곡역사공원,오랜 역사를 알 수 있는 문화역사공원 관광지 대구가볼만한곳 대구산책 대구여행 우배선 월곡역사공원 월곡역사박물관
이월드,꿈이 현실이 되는 테마파크! 2024_여행가는달과함께하는_발도장여행지 가족과밤밤곡곡 가족과함께
사유원,진정한 나를 마주 보는 치유의 공간 2023_설날_핫플 2024_여행가는달과함께하는_발도장여행지 25_26한국관광100선
번개시장,1988년 개설된 상가건물형의 대구 중형시장 대구 대구가볼만한곳 대구번개시장 쇼핑 전통시장 전통시장여행
파계사,영조의 도포가 전해지고 왕실의 원당 역활을 했던 사찰. 가족여행 관광지 대구파계사 문화관광해설사 불교 불교문화 불교사찰
이월드 83타워 아이스링크,83 타워 속 사계절 내내 즐기는 대구 도심 속 실내 아이스링크 83타워 겨울스포츠 대구스케이트장 대구아이스링크 대구이월드 대구전망대
서상돈 고택,국채보상운동의 거장 서상돈의 고택 경상권 관광지 국채보상운동 대구가볼만한곳 독립운동가 서상돈 서상돈고택
스파크랜드,대구 전경을 한눈에 감상할 수 있는 테마파크 2024_여행가는달과함께하는_발도장여행지 관광지 놀이공원 놀이기구
신매시장,대구광역시 수성구 신매동에 위치한 수성의 부엌 대구나들이 대구쇼핑 대구시장 대구시장여행 대구여행 쇼핑
대구 평화시장 닭똥집 골목,각양각색의 닭똥집 요리가 있는 추억의 장소 가족여행 걷기좋은길 경상권 관광지 닭똥집골목 대구닭똥집 대구닭똥집골목
신무동마애불좌상,팔공산 부인사 계곡에 위치한 고려시대 마애불 경상권 고려불상 관광지 교과서속여행 구룡사마애불 구룡사적멸보궁
수태골,
부인사(대구),고려시대 최초의 대장경을 판각한 사찰 2024_여행가는달과함께하는_발도장여행지 가족여행 경상권 관광지 대구부인사
관음사(대구),천연기념물인 측백나무 숲을 두른 대구의 사찰 경상권 관광지 관음사 관음사관세음보살 관음사미륵전 관음사삼성각
관암사(대구),중생들의 작은 안식처로 자리하고 있는 천년 고찰 갓바위 경상권 관광지 관봉석조여래좌상 관암사 대구관암사 불교
회진당원의대사지비,파계사에 위치한 회진당원의대사를 기리는 비 관광지 대구파계사 역사 역사공부 역사관광지 역사를품은곳 역사문화재
팔공산국립공원(군위군),절묘한 암벽과 울창한 숲이 어우러진 산 관광지 등산 자연 자연환경
팔공산국립공원(파계사지구),팔공산의 아름다운 진 면목을 느낄 수 있는 공원 25_26한국관광100선 가족과_함께 경상권 경치좋은곳 관광지 자연
대구스타디움,국내외 경기 및 문화행사에 활용되는 다기능 스포츠 시설 2002년월드컵경기장 경상권 대구스타디움 대구스포츠기념관 대구월드컵경기장
근대문화체험관 계산예가,근대문화와 역사를 배울 수 있는 체험관 가족과함께 계산예가 근대화체험 대구가볼만한곳 대구중구 문화공간
대구향교,지방민의 교육과 교화를 위한 대구향교 관광지 대구향교 문화관광해설사 아이와함께 역사 역사공부 역사관광지
이상화 고택,항일 민족 시인 이상화 시인이 거주하던 고택 2024_여행가는달과함께하는_발도장여행지 고택 관광지 대구가볼만한곳
대구 근대골목(근대로의 여행),"대구의 과거, 현재 그리고 미래가 공존하는 골목 19_20한국관광100선 2022_추석_당일치기_여행 2024_여행가는달과함께하는_발도장여행지"
팔공산국립공원 도학야영장,팔공산 벚꽃을 즐길 수 있는 캠핑장 가성비캠핑장 가을단풍명소 걷기길 대구시캠핑장 동구캠핑장 레포츠
비슬산자연휴양림,기암괴석과 단풍이 절경을 이루는 자연휴양림 가족여행 걷기길 경상권 관광지 달성군자연휴양림 대구자연휴양림 대구휴양림
3.1만세운동길,1919년 3월 1일 만세운동을 하기 위해 이용한 솔밭길 3.1만세운동길 3.1운동 관광지 대구 대구가볼만한곳 독립 여행 태극기를_찾아라!광복_80주년_기념_이벤트
국립신암선열공원,국내 최대 독립 유공자 전용 국립묘지 관광지 대구공원 대구나들이 대구산책 대구선열공원 대구여행 태극기를_찾아라!광복_80주년_기념_이벤트
O2 글램핑,자연 속에서의 편안함과 고급스러움을 동시에 누릴 수 있는 글램핑장 가족캠핑여행 대구시근교카라반 대구시글램핑 대구시캠핑장 레포츠 비슬산캠핑장
사문진 주막촌,옛 보부상과 나루터의 감성을 느껴보자 ! 2024_여행가는달과함께하는_발도장여행지 경상권 관광지 보부상 사문진
비슬산 군립공원,비슬산에서 사계절 다른 풍경을 즐기는 공원 관광지 군립공원 달성군 대견사 비슬산암괴류 비슬산참꽃축제 비슬산휴양림
황금시장,상가주택 복합형 중형 시장 대구어린이대공원 대구여행 쇼핑 수성못 수성유원지 중소규모시장
월배시장,소규모 상점의 조화 대구나들이 대구쇼핑 대구시장 대구시장여행 대구여행 쇼핑
경상감영공원,조선시대 경상감영터를 보전하기 위해 조성된 공원 2024_여행가는달과함께하는_발도장여행지 가족여행 걷기여행 경상감영
국립대구박물관,대구의 문화유산을 발굴하고 보존하는 박물관 국립대구박물관 대구박물관 대구실내관광지 데이트코스 무료관람 문화시설
대구 달성공원,대구시민이 사랑하는 오랜 역사를 품은 공원 2024_여행가는달과함께하는_발도장여행지 BTS bts여행 bts투어 가족여행
동화사(대구),템플스테이와 사찰 음식 강좌로 다가가는 신라 고찰 2024_여행가는달과함께하는_발도장여행지 가족여행 관광지 교과서속여행
녹동서원,임진왜란 때 귀화하여 전공을 세운 삼란공신 김충선 장군 배향 서원 가족여행 경상권 관광지 김충선장군묘소 녹동사 녹동서원 달성한일우호관
도동서원 [유네스코 세계유산],예스러움이 가득한 서원 2024_여행가는달과함께하는_발도장여행지 가볼래터 관광지 도동서원
용연사(대구),부처님의 진신사리가 모셔진 적멸보궁 2024_여행가는달과함께하는_발도장여행지 8대적멸보궁 관광지 기차여행
비슬산 유가사,신라 흥덕왕 2년 도성국사가 창건한 유서깊은 천년 고찰 가족여행 경상권 관광지 문화관광해설사 불교 불교사찰 비슬산유가사
인흥마을,문익점의 후손들이 대대손손 살아온 남평 문씨 집성촌 가족여행 경상권 관광지 문화관광해설사 역사 역사공부 역사관광지
화원동산,화원동산 전망대에 올라 낙동강과 금호강을 눈으로 즐겨보자. 가족과함께 관광지 달성군 대구여행 사문진나루터 사문진주막촌 산책하기좋은곳
낙동강승전기념관,겨레의 얼과 민족의 얼이 살아숨쉬는 호국의 전당 기차여행 낙동강승전기념관 대구 남구 대구광역시 문화관광해설사 문화시설
월곡역사박물관,대구 지역의 유물이 전시된 박물관 문화관광해설사 문화시설
노태우 대통령 생가,봄철 복사꽃이 아름다운 곳 관광지 교하노씨집성촌 노태우대통령생가 대구복사꽃 대구여행 용진마을
대구시민운동장,대구 북구에 위치한 복합 스포츠 시설 대구북구 대구시민운동장 레포츠 축구경기장
대구iM뱅크PARK,도심 한복판에서 즐기는 생생한 축구의 열기 대구fc 대구FC주경기장 대구FC홈그라운드 레포츠
대구 아쿠아리움,다채로운 해양 생물과 이색 체험이 어우러진 도심 속 특별한 수족관 경상권 대구가볼만한곳 무더위_피해_실내여행 문화시설 미세먼지_피하는_실내여행
계명대학교 행소박물관,선사시대부터 조선시대까지의 유물이 전시된 계명대학교 부속 박물관 계명대학교박물관 계명대학교행소박물관 대구박물관 대학부속박물관 무료관람
와룡산(대구),"봄이면 진달래, 벚꽃이 군락을 이루어 꽃 구경하기 좋은 산 경치여행 경치좋은곳 관광지 대구MTB도로 대구벚꽃군락 대구봄꽃구경"
북지장사(대구),팔공산 수려한 경관에 석조지장보살님을 모신 사찰 2024_여행가는달과함께하는_발도장여행지 경상권 공산지장사 관광지
비슬승마체험장,쾌적한 시설을 자랑하는 승마장 레포츠 비슬승마 송해공원근처승마 승마레슨 유치원승마체험
가창실내테니스장,"비오는 날 실내코트에서 게임하고 싶을 때, 날씨에 구애 받지 않기 가창클레이코트장 대구실내테니스코트 대구테니스레슨 레포츠 실내테니스"
구암서원,조선시대 유학자들의 학문과 덕행을 기리는 유서 깊은 장소 가볼래터 경상권 관광지 교과서속여행 구암서원 문화관광해설사 서원
바람숲 캠핑 야영장,계곡 인근 숲속에 자리한 캠핑장 레포츠 여름물놀이
가창농원글램핑오토캠핑장,새소리와 자연을 벗 삼아 즐기는 캠핑 가족캠핑 깨끗하게관리되는 달성군캠핑장 대구시캠핑장 레포츠 방갈로대여가능
계명아트센터,대구 계명대학교 성서캠퍼스 안에 있는 대구 대표 공연장 경상권 계명대뮤지컬공연장 계명대학교내공연장 계명아트센터 대구공연장
사라온이야기마을,"우리 선조들이 살아온 역사와 문화, 지혜와 슬기를 체험하는 마을 공연프로그램 관광지 군위군 역사여행 역사체험 이야기마을 체험학습"
명품옻골 1616 협동조합,전통가옥들과 어우러져 고즈넉한 분위기를 자아내는 곳 2022으뜸두레 2024_여행가는달과함께하는_발도장여행지 가족과함께
석가사(대구),대구 두리마루숲길의 들머리에 위치한 조용하고 아담한 사찰 관광지 대구둘레길석가사 대구석가사 대구조계종사찰 둘레길석가사주차장
대구화교협회,대구 지역의 대표적인 근대 건축물 관광지 국가등록문화재 근대건축물 대구가볼만한곳
대구 구 동촌역사,작은도서관으로 다시 태어난 구 동촌역사 건축물여행 관광지 대구선동촌역 대구작은도서관 동촌역사 동촌역사도서관
안일사(대구),3.1 운동의 정신이 깃든 사찰 2024_여행가는달과함께하는_발도장여행지 경상권 관광지 불교 불교문화
서구 그린웨이,"다양한 야생화와 초화류로 싱그러운, 테마가 있는 산책로 관광지 그린웨이 그린웨이장미원 꽃무릇 대구 이곡장미공원 장미명소"
월광수변공원,자연과 함께 어우러진 아름다운 공원 공원 관광지 달맞이행사 대구수변공원 데크길산책 산책하기좋은곳 웨딩테마공원
비원뮤직홀,소통과 감동이 함께하는 품격있는 음악타운 공연장 대구공연장 문화시설 음악여행 콘서트
이현공원,대구 서구민들의 여가와 휴식의 장소 관광지 대구공원 대구나들이 대구데이트코스 대구산책 대구여행 서구그린웨이
대구서구문화회관,대구의 공연·전시와 문화강좌를 제공하는 공간 경상권 대구문화강좌 대구서구문화회관 대구음악공연 대구이현공원 문화시설
한국전선문화관,한국문화예술의 과거와 현재 그리고 미래를 잇다 대구 문화관 문화시설 예술 전시 한국전선문화관
군위 화산산성 전망대,마음이 탁 트이는 군위 풍경 2024_여행가는달과함께하는_발도장여행지 경치여행 경치좋은곳 관광지
서계서원,덕계 오건 선생의 학문과 업적을 기념하기 위해 창건된 서원 경남서계서원 관광지 산청서계서원 역사 역사공부 역사관광 역사관광지
심플책방,고양이와 책이 함께 있는 독립서점 가볼래터 감성북카페 감성북카페 독립서점 독립서점 문화시설 서점
모영재,대구동구에 위치한 평산신씨 문중재실 관광지 대구올레길 대구평광마을 문중재실 신숭겸영각유허비 역사여행
하이마트 음악감상실,"마음의 고향, 3대째 이어져 오는 고전음악 감상실 가볼래터 고전음악 문화시설 여행구독 음악감상 음악감상실 이색데이트"
군위전투전승기념공원 캠핑장,"평화로 가는 길은 없다, 평화가 길이다 가족 깨끗한 레포츠 문화유적 별 보기 좋은 사이트 간격이 넓은 생태교육"
더폴락,문화적인 교류와 사람 사이의 네트워크가 이어지는 곳 대구_여행지_추천 대구가볼만한곳 대구권 대구책방 동네책방 문화시설
동산청라언덕,근대사의 숨결이 살아 숨 쉬는 공간 관광지 대구3.1만세운동길 대구가볼만한곳 대구근대골목 대구근대골목투어
대구아이스파크,사계절 내내 즐길 수 있는 실내 아이스링크장 대구실내빙상장 대구아이스하키 레포츠 실내쇼트트랙강습 실내쇼트트랙강습
해맞이공원,고성군의 일출 명소 고성관광지 고성여행 고성일출 고성해맞이공원 공룡조형물 관광지 일출명소
정호승 문학관,정호승 시인의 시상의 근원인 범어천을 내려다보고 있는 문학관 대구문학관 대구정호승문학관 문화시설 범어천과시인 부치지않은편지
여행자의 책,책장을 펼치는 순간 인문 여행이 시작되는 문학 전문 서점 대구 대구공항 대구서점 문화시설 서점 여행자의책 책
논공꽃단지,각종 꽃들을 계절에 따라 군락으로 구경할 수 있는 곳 관광지 논공꽃단지 논공핑크뮬리 달성군꽃축제 대구꽃사진 대구꽃축제
홀리데이비지터샵,“Art”를 대중과 가까이 가볼래터 도서 소품샵 쇼핑 여행구독 음반 편집샵 포스터 홀리데이비지터샵
두류공원인라인스케이트장,넓은 공원안에서 인라인도 타고 자전거도 타요 공원산책 대구유아차걷기대회 대구인라인스케이트장 대구체육공원 두류스포츠광장
서재문화체육센터,다양한 문화 활동을 위한 공간 관광지 대구인라인스케이트장 대구체육공원 대구축구장 대구테니스장
대구활공랜드,"패러글라이딩, 그것은 또 다른 감동! 가볼래터 가족과함께 대구가볼만한곳 레포츠 여행구독 연인과함께 이색체험"
대덕문화전당,대구광역시 최초의 문화예술 시설 대구문화시설 대구발레공연장 대구오페라관람 대구음악회 문화시설 연극관람
대명유수지,"대구 달서 대천 달성습지 갈대명소 ,생태자원의 보고 가볼래터 가을산책 관광지 달성습지 달성습지생태학습관 대구권반려동물여행지"
사문진나루터,옛날 나루터에서 주막 거리도 즐기고 유람선도 타보자 관광지 나루터 대구유람선관광 사문진유람선 사문진주막촌 사문진카페
앞산빨래터공원,앞산에서 내려온 물로 빨래하던 곳이 이젠 공원으로 돌아오다 관광지 광주빨래터 대구빨래터 대구앞산 앞산8경 앞산빨래터 옛빨래터재현
크레이지팡팡,국내 유일 실내 복합 익스트림파크 가볼래터 대구실내데이트 대구테마파크 레포츠 실내놀이터 실내액티비티
대구 신천물놀이장,"대구 무료 물놀이장, 올 여름 내내 여기서 놀자! 관광지 대구가볼만한곳 아이와함께 여름 여름가볼만한곳 여름물놀이"
만촌인라인롤러스케이트장,시민에게도 개방된 국제규격을 갖춘 인라인롤러스케이트장 대구롤러스케이트장 대구실내인라인스케이트장 대구인라인스케이트장 레포츠
교남YMCA 회관,대구 중구 근대역사의 중요한 시설물 관광지 역사관광지 종교성지
대구 세천늪테마정원,다양한 테마로 이뤄진 힐링 공원 공원 관광지 대구가족나들이 산책 튤립 핑크뮬리
나야 대령 기념비,한국의 평화와 자유를 위해 숨진 인도 故 나야대령의 희생정신을 기리기 위한 기념비 관광지 기념비 대구 역사
대구간송미술관,가장 한국적인 미술관 2024한국관광의별 가볼래터 대구 문화시설 미술관 여행구독 전시
달서천 자전거 광장,선선한 날씨에 즐거운 라이딩하기 달서천자전거광장 대구 대구자전거 대구자전거대여 레포츠 자전거광장
노변동 사직단,토신과 곡신을 기리던 제단 관광지 노변동사직단 대구 대구가볼만한곳 유적지
팔공 쉼터 야영장,계곡 평상과 함께 운영하는 캠핑장 계곡 레포츠 야영장 여름물놀이 캠핑 캠핑장
느티담길캠핑장,개별 샤워실 등을 갖춘 풍경 멋진 캠핑장 레포츠 여유있는캠핑장
군위 솔밭야영장,물놀이하기 좋은 계곡 옆 캠핑장 계곡 레포츠 여름물놀이 인기캠핑장2024 캠핑장
달성토성마을,아름다운 벽화를 감상하고 다양한 체험을 즐길 수 있는 마을 관광지 달성토성마을 대구광역시 벽화 벽화골목 역사여행 체험마을
하늘아래수성별사랑캠프,다양한 카라반이 갖춰진 풍경 좋은 캠핑장 레포츠 여름물놀이
글램핑로망,산으로 둘러싸인 자연친화적 글램핑장 단풍명소 레포츠 인기캠핑장2024
대구 대표 도시숲,산책 즐기기 좋은 공원 관광지 나들이 대구 대구가족나들이 대구공원 대구대표도시숲 대구산책길
대구출판산업지원센터,북카페를 품은 대구의 콘텐츠 문화시설 대구 대구가볼만한곳 대구문화시설 대구출판산업지원센터 문화시설
배실웨딩공원,달콤한 분위기의 산책하기 좋은 공원 공원 관광지 대구 대구공원 배실웨딩공원
대구창의융합교육원,창의융합형 체험 교육원 과학관 관광지 교육시설 교육원 대구창의융합교육원 체험활동
더현대 대구,"식사부터 쇼핑까지, 다양한 볼거리가 있는 쇼핑몰 대구 백화점 복합문화공간 쇼핑 쇼핑몰 현대백화점"
화본마을,넉넉한 옛 고장 모습을 재창출한 곳 관광지 대구 문화공간 화본마을 화본역
사단법인 푸른차문화연구원,차와 관련된 다양한 경험을 할 수 있는 곳 관광지 다도체험 대구 대구힐링코스
리안갤러리 대구,특색 있는 전시를 감상할 수 있는 공간 대구 리안갤러리 문화시설 볼거리 전시회
강변축구장,대구의 대표적인 축구 경기장 금호강리틀야구장 금호강변축구 금호강파크골프장 대구FC연습장 대구축구연습장
