place,태그
선광사,태백에 위치한 아담한 사찰 강원 강원여행 관광지 사찰 선광사 역사 역사여행 절 태백 태백사찰
삼척 가시오가피마을,깨끗한 자연과 전통 먹거리가 가득한 마을 가족과함께 관광지 자연마을 자연속으로 자연여행 자연좋은곳 자연환경
점봉산,한반도의 대표적인 원시림을 볼 수 있는 숲 강원권 관광지 등산 산 월간_사진_제보_이벤트 자연 점봉산
해담마을,첩첩산중에 해를 담고 있는 마을 관광지 남녀노소 아이와함께 여름방학가볼한곳 이색체험 익스트림스포츠
김성래 가옥,삶과 지혜가 녹아있는 한국의 가옥 관광지 역사공부 역사관광지 역사를품은곳 역사문화재 역사속 역사속으로
서곡정사석조약사여래입상,광배와 대좌를 갖추고 약그릇을 들고 서있는 모습의 약사불 관광지 불교 불교사찰 사찰탐방 역사공부 역사문화재 역사속 역사속으로
마린데크(커피마린협동조합),해안 드라이브를 즐길 수 있는 해안절벽 위 카페 가족과함께 관광두레 관광지 맛집 문화활동 식도락여행 여름휴가
갈천약수터,구룡령 계곡 바위에서 솟아나오는 약수 갈천약수터 관광지 약수터 양양군 자연
맹글(레몬트리협동조합),숨은 재능을 발굴하는 지역 공작소 가족과함께 관광두레 관광지 문화활동 연인과함께 이색체험 체험프로그램
카페나전역(나전카니발농업회사법인주식회사),아날로그 감성이 가득한 국내 1호 간이역 카페 2021으뜸두레 2022으뜸두레 2023으뜸두레 가족과함께 관광두레 관광지
적가리골,계곡 물길을 따라 펼쳐치는 아름다운 바위와 골짜기 DMZ DMZ여행 가족여행 강원권 계곡 계곡트레킹 계단폭포 관광지
곤충농장 벅스팜,아이의 높이에 맞는 곤충 교육체험학습장 가족과함께 곤눙농장 관광지 교육여행 아이와함께 이색체험 자연여행
금풀애마을,자연이 전하는 정취와 여유를 나누는 마을 가족과함께 관광지 농촌마을 농촌여행 자연마을 자연속힐링 자연좋은곳
성국사,설악산 주전골에 자리 잡은 성국사 관광지 불교문화 불교사찰 사찰여행 자연속으로 자연여행 자연좋은곳
영월 무릉리 마애여래좌상,아름다운 계곡과 절경이 보이는 곳에 위치한 마애상 관광지 역사공부 역사관광 역사관광지 역사문화 역사문화재 역사속
영월 술빛고을,청정지역 농산물을 다양하게 즐길 수 있는 곳 가족과함께 관광지 농촌마을 아이와함께 이색체험 자연환경
대암산 용늪 (강원평화지역 국가지질공원),사시사철 구름을 품은 하늘의 연못 경치좋은곳 관광지 국가지질공원 인제자연생태계 자연 자연관광지 자연속으로
구 철원제일교회,아픈 역사가 담긴 종교 유적 강원권 관광지 구철원제일교회 등록문화재 역사 역사공부 역사관광지
신남항,등대가 아름다운 항구 관광지 등대 산책코스 삼척가볼만한곳 항구 항구산책
하평해변(동해),조용하고 한적하게 휴식하기 좋은 해변 경치여행 경치좋은곳 관광지 바다경치 여름피서지 자연관광지 자연속으로
횡성호,여유롭게 걷기 좋은 둘레길 강원 관광지 자연 횡성 횡성호
춘천 근화동 당간지주,보물로 지정된 고려시대의 당간지주 관광지 역사 역사공부 역사관광지 역사를품은곳 역사문화 역사문화재
광덕산(화천),"가을이면 단풍, 겨울이면 설경이 아름다운 곳 강원권 관광지 광덕산 안보관광 안보관광 자연 자연여행 자연좋은곳"
교암항,천학정이 있는 조용한 항구 관광지
궁촌항,한적해서 더 매력 있는 항구 관광지 궁촌항 바다여행 삼척관광 삼척항구 자연 항구
고천마을,두타산 아래 평온한 친환경 산촌생태마을 관광지
갈남항,떠오르는 스노클링 명소 갈남바다 갈남항 관광지 삼척바다 삼척스노클링 스노클링 항구
학무정,학문과 효의 정신이 담겨있는 정자 관광지
옥계항,시멘트산업발전의 교두보 역할을 하는 항구 경치여행 경치좋은곳 관광지 남녀노소 드라이브여행 바다경치 바다내음
학도병충혼탑,조국을 위해 장렬히 산화한 학도병의 영령을 모신 곳 관광지 역사공부 역사속 역사속으로 역사여행 역사유적 역사유적지
서광사,수려한 자연경관과 함께 있는 사찰 관광지
등광사,태백산과 함백산을 잇는 등산로 중간에 자리하고 있는 사찰 관광지
청원사(태백),광부들의 안전을 기원하고 영령을 기리는 공간 관광지 불교 사찰 역사 역사관광지 용담연못 태백가볼만한곳 태백관광
철원 철새도래지 (철원평야),천연기념물로 지정된 세계적인 철새도래지 강원권 관광지 두루미탐조 자연 천연기념물 철새도래지 철원평야
진부리 마을관리휴양지,청정 자연을 체험할 수 있는 여름 물놀이 명소 강원도여행 고성여행 관광지 유원지 진부리마을 휴양여행 힐링
덕산항,다양한 어종을 형성하고 있는 덕산항 경치좋은곳 관광지 바다경치 바다내음 삼척여행 자연속으로 자연여행
오미마을,오미(五味)를 오감(五感)으로 느낄 수 있는 마을 관광지 농촌 농촌마을 농촌여행 농촌체험 농촌체험마을 농촌체험여행
김청풍부원군묘역,명성왕후의 아버지인 충익공 김우명의 묘역 관광지 역사공부 역사관광지 역사문화 역사문화재 역사속 역사속으로
김정묘역 문인석,고려시대의 문신인 김정 선생의 묘역에 있는 1쌍의 문인석 강원특별자치도문화재자료 관광지 문화재 역사 유물
요동백김응하장군묘비,조선시대 무신 김응하 장군의 묘비 관광지 역사관광 역사관광지 유형문화유산 철원
여송정,애절한 사랑 이야기가 담긴 공간 관광지 사랑이야기 아우라지 정선가볼만한곳 정선관광지
수고당,영동과 영서의 지역 특성이 혼합된 양반가옥 강원권 관광지 수고당 정선
삼척 해신당공원,동해안 유일의 남근숭배민속(男根崇拜民俗)이 전해 내려오는 공원 가족여행 강원권 걷기길 경치좋은곳 관광지 산책길 산책하기 산책하기좋은곳
서운재(瑞雲齋),정선 전 씨 중시조의 제사 지내는 재실 관광지
난포정(蘭浦亭),마산봉 위 호젓한 정각 관광지 마산봉 목조건축물 역사관광지 정선가볼만한곳
산양마을,옛 모습이 살아 있는 수수한 마을 관광지
바회마을,자연의 넉넉한 마음을 똑 닮은 산골 마을 관광지 체험마을 홍천
故박정렬여사 추모공원,박정렬 여사의 모정을 기리는 공원 관광지 박정렬 산책하기좋은곳 역사속으로 역사이야기 위령비 위령비
호산항,조용하고 아름다운 호산항 강원 강원삼척 강원삼척여행 강원삼척항구 관광지 삼척항구 조용한
초곡항,이국적이면서 조용하고 고즈넉한 항구 관광지
38평화마을,한국전쟁의 아픔과 추억을 고스란히 간직한 마을 관광지 농촌체험 아이와함께 역사속으로 체험프로그램 평화여행 평화통일
성바위자연마을,오감만족 즐기는 여행 강원 관광지 농촌마을 체험 횡성
덕고마을,자연생태문화체험을 할 수 있는 농촌마을 관광지 농촌관광 농촌마을 농촌여행 농촌체험여행 아이와함께 이색체험
팔봉참살이마을,깨끗한 공기와 자연이 가득한 힐링마을 가족과함께 관광지 농촌체험 아이와함께 자연여행 자연좋은곳 자연체험
척야산 문화수목원,척야산 일대에 조성되어 있는 수목원 관광지
에움녹색길,개야 옛길을 시작으로 마을을 지나 홍천 강변을 따라 한 바퀴 도는 길 레포츠
하이원리조트 HAO 웰니스,오롯한 휴식의 공간 관광지 남녀노소 웰니스 웰니스여행 이색체험 체험프로그램 친구와함께
가원습지 생태자연공원,다양한 생물이 공존하며 살아가는 생태자연공원 관광지 산책코스 산책하기좋은곳 아이와함께 자연관광지 자연좋은곳
철원평화문화광장,남북한 평화통일 기반을 조성하기 위한 곳 관광지 광장 문화광장 철원가볼만한곳 철원군
횟집명소거리,해변을 따라 빼곡하게 자리 잡은 횟집 관광지 동해가볼만한곳 동해횟집 묵호항 횟거리
안흥찐빵마을,옛 시절 추억을 뿍 담은 국민 간식 안흥찐빵 가족여행 강원권 강원권반려동물여행지 관광지 남녀노소 맛집탐방 먹거리여행
대산계곡,병풍같이 쳐져있는 바위와 나무 그늘과 모래밭이 어우러진 계곡 강원도 계곡 관광지 월간_사진_제보_이벤트 캠핑 횡성
홍천 풍암리 동학혁명군전적지,조선 후기 동학농민군이 관군과 싸웠던 전적지 관광지 역사 역사공부 역사관광지 역사를품은곳 역사문화 역사문화재
기후변화홍보관,"기후위기 대응을 위한 전시, 체험, 교육 공간 문화시설 아이와함께 원주 원주가볼만한곳 이색체험 전시관 체험학습"
월천해수욕장,수려하고 아름다운 자연경관을 품은 해변 관광지 바다경치 여름피서지 자연속으로 자연여행 자연좋은곳 자연풍경
낙산항,푸른 바다와 해산물을 즐길 수 있는 양양 명소 강원 관광지 낙산항 낚시 양양 양양낚시 양양여행 양양해수욕장
낙산해안로,어느 때나 편안한 휴식을 즐길 수 있는 공간 관광지 바다경치 바다내음 산책하기좋은곳 아이와함께 해안길산책 해안데크
속초해안로,속초 해안길 따라 느끼는 바다내음 관광지
영월화석박물관,지구의 역사가 고스란히 담긴 공간 가족과함께 문화시설 박물관 아이와함께 영월
켄싱턴해변,넓고 긴 백사장과 맑은 바닷물이 명품인 해변 경치좋은곳 관광지 자연속으로 자연여행 자연좋은곳 자연풍경 자연환경
청호해변,설악대교와 금강대교의 황홀한 야경과 설악산의 비경을 볼 수 있는 곳 경치좋은곳 관광지 바다경치 여름피서지 자연속으로 자연여행 자연좋은곳
행구수변공원,다양한 놀이와 쉼이 가득한 도심 속 휴식공간 관광지 수변공원 원주 원주여행지추천
샘재골송이마을,산 좋고 물 맑기로 유명한 농촌마을 관광지 농촌마을 자연마을 자연여행 자연좋은곳 자연풍경 자연환경
석병산,강릉의 숨은 명산 등산코스 가족과함께 강릉 관광지 등산 등산코스 석병산 자연관광지
헌화로,한반도 땅에서 바다와 가장 가까운 도로 관광지
거문산,수려한 경관을 즐기며 트레킹하기 좋은 산 거문산 관광지 산 트래킹코스 평창
홍천 열목어마을,열목어가 사는 청정마을 관광지
도계유리마을,유리처럼 반짝이는 마을 관광지
계촌마을,사계절을 몸소 체험할 수 있는 청정마을 강원 관광지 평창군
강릉 굴산사지,고려시대 역사의 흔적이 남아있는 곳 강원권 관광지 사적 역사 역사공부 역사관광지 역사를품은곳 역사문화
홍천 비발디파크 K1 SPEED,"아시아 최고, 국내 최대의 실내 레이싱! 강원권 레포츠 비발디파크 실내레이싱 홍천비발디파크"
자연환경연구공원,자연환경을 생생하게 체험할 수 있는 공간 관광지 산업관광 산업관광지 생태관광지 아이와함께 이색체험 자연환경
문배마을,구곡폭포와 함께 걷기 좋은 마을 관광지
원당계곡,아름다움을 간직한 원당계곡 가족과함께 관광지 여름피서지 자연관광지 자연발생 자연좋은곳 자연풍경
오분해변,한적하고 여유롭게 즐길 수 있는 해변 경치여행 관광지 바다경치 여름피서지 자연환경
등대해변,관광명소와 인접하여 해변이 생각날 때 언제든 찾을 수 있는 등대해변 관광지 등대해변 등대해수욕장 속초여행 여름피서지 자연속으로 자연여행
구봉산,춘천의 동쪽을 병풍처럼 둘러친 산 관광지 등산코스 야경맛집 월간_사진_제보_이벤트 의암호 자연관광지
난고 김삿갓 유적지,방랑 시인 김삿갓의 예술혼을 만날 수 있는 곳 가족여행 강원권 관광지 교육여행 김삿갓 산책길 산책하기 산책하기좋은곳
잔교리해변,다채로운 여행을 즐길 수 있는 해변 관광지 여름피서지 자연속으로 자연여행 자연좋은곳 자연풍경 자연환경
원포리해변,넓은 백사장과 아름다운 원포리 해변 경치좋은곳 관광지 바다경치 바다내음 여름피서지 자연관광지 자연속으로
38해변,시원한 파도를 타며 서핑하기 좋은 해수욕장 관광지 여름피서지 자연속으로 자연여행 자연좋은곳 자연풍경 자연환경
양구수목원,자연생태의 모든 것을 오감으로 느끼고 체험할 수 있는 곳 가족여행 강원권 관광지 양구생태식물원 자연 자연속으로 자연여행
갯마을해변,가족과 휴식하기 좋은 해변 관광지 여름피서지 자연속으로 자연여행 자연좋은곳 자연풍경 자연환경
원주시립미리내도서관,원주시민을 위한 창의적 복합문화공간 도서관 문화시설 원주 원주시립미리내도서관
병지방계곡,어답산을 끼고 굽이쳐 흐르는 명경지수의 계곡 가족여행 강원권 경치좋은곳 관광지 등산로 서울근교여행 아이와함께
영월미디어기자박물관,한국 기자들의 역사가 살아 숨쉬는 곳 교육여행 기자박물관 남녀노소 문화시설 아이와함께 역사속으로 역사이야기
원주옻칠기공예관,다양한 옻 공예품을 만나볼 수 있는 공간 문화시설 실내관광지 원주관광 원주문화시설 원주여행 원주전시관
초당순두부마을,바닷물로 부드럽게 만들어낸 순두부 강릉가볼만한곳 강릉당일코스 강릉맛집 강원권 관광지 자연여행 자연좋은곳
영월 북쌍리 고택,영서지방 전형의 전통 민가 형식을 볼 수 있는 곳 관광지
함정균가옥,19세기 중엽에 지은 강릉 함 씨의 집성촌 관광지
천전리 지석묘군,춘천 지역의 선사시대 생활상을 짐작게 하는 중요한 유적 관광지
봉산동 석불좌상,자연스럽게 아름다운 통일신라 석불상 관광지 역사 역사관광지 원주 유형문화유산
목조문수동자좌상 복장유물,불상의 유래를 밝힐 수 있는 발원문과 복장유물 관광지 아이와함께가기좋은 역사관광지 역사유적 평창박물관
철원 농산물검사소,아픈 역사가 담긴 근대건축물 관광지
한송사 석조보살좌상,인자한 미소를 띤 모습을 볼 수 있는 보살상 관광지
이덕균가옥,고성에 위치한 이덕균가옥 고성 관광지 문화재
서림사지,과거의 비밀을 간직한 신라시대의 사찰터 관광지 역사공부 역사관광지 역사를품은곳 역사문화재 역사속 역사속으로
몰운대(정선),500여 년 역사를 간직한 노송이 있는 곳 가족여행 강원권 경치좋은곳 관광지 몰운대 자연 자연관광지 자연속으로
중광정해수욕장,물이 유독 맑고 깨끗한 서핑의 메카 경치좋은곳 관광지 바다경치 여름피서지 자연속으로 자연여행 자연좋은곳
동산해수욕장,캠핑과 서핑을 한번에 즐길 수 있는 양양 해변 관광지 바다경치 바다내음 여름피서지 자연속으로 자연여행 자연좋은곳
테라크랩팜,도둑게 생태체험과 만들기를 동시에 즐겨보자! 문화시설
용화해변,해양레저와 해상케이블카가 있는 아름다운 해변 가족여행 강원권 관광지 기차여행 나들이 당일치기여행 데이트코스
추암오토캠핑장,해돋이 명소로 유명한 추암해변에서 즐기는 캠핑 강원웰니스관광지 동해웰니스관광 레포츠 웰니스관광 캠핑장
오색령(한계령),구름도 쉬어간다는 오색령(한계령) 강원여행 관광지 양양가볼만한곳 양양여행 오색령 월간_사진_제보_이벤트
효석문학의숲,소설 《메밀꽃 필 무렵》을 테마로 꾸민 숲 강원웰니스관광지 관광지 웰니스관광 평창웰니스관광
설악해맞이공원 인어연인상,행복한 사랑을 약속하는 장소 관광지
청정신흥마을,푸르른 자연 속 아름다운 청정신흥마을 강원웰니스관광지 관광지 동해웰니스관광 웰니스관광
백두대간동해소금길,백두대간의 생태장원이 함께하는 숲길 가족과함께 강원웰니스관광지 동해가볼만한곳 동해웰니스관광 레포츠
요선정·요선암,불교 전성기 통일신라시대 포교를 하던 곳 가족여행 강원권 강원도문화재자료 경치좋은곳 관광지 서울근교여행
공현진항,고운 모래와 얕은 수심이 매력적인 곳 강원 고성군 관광지
공지천유원지,도심 속 낭만적인 휴식처 공지천 공지천관광 공지천유원지 관광지 주민들휴식처 춘천 춘천갈만할곳
KT&G 상상마당 춘천,예술과 자연이 빚어낸 특별한 복합문화공간 문화시설
의암호자전거길(봄내길코스),춘천의 아름다운 호반을 마주할 수 있는 봄내길 관광지 둘레길 레포츠 춘천 춘천여행
백양리역 폐역,"북한강 옆 소박한 아름다움, 옛 백양리역 간이역 강원 강원춘천 관광지 기차 기차역 백양리역 백양리역폐역"
동해생명자원센터,연어의 일생을 보며 삶을 배우는 동해생명자원센터 가족여행 관광지 양양여행 체험 체험학습
육림고개,감성과 예술이 함께하는 골목여행 관광지 쇼핑
근화동396청년창업공간,춘천 청년창작자들과 함께하는 핸드메이드 문화공간 문화공간 문화시설 청년작가 춘천 춘천데이트 춘천여행
국립 미천골자연휴양림,"자연이 허락한 품, 산림과 계곡 속에 위치한 자연휴양림 관광지 자연"
송지호 해수욕장,
맹방해변,방탄소년단도 ‘찍고’ 간 에메랄드빛 아름다운 해변 강원권 관광지 맹방해변 문화관광해설사 바다경치 바다내음 바다풍경
대관령 하늘목장,"자연이 숨쉬는 목장, 동물과 교감하는 목장, 대관령 하늘목장 INFP낭만여행 가족여행 가족체험여행 감성사진 강원권 강원웰니스관광지"
한섬해변&한섬감성바닷길,"밤하늘을 간직한 빛터널, 해안절벽의 경이로움과 함께하는 산책 강원권반려동물여행지 강원웰니스관광지 관광지 남녀노소 동해웰니스관광"
계족산(영월),역사 유적들을 품고 있는 영월의 산 강원권 경치좋은곳 계족산 관광지 등산 등산객 서울근교여행 역사유적지
원동성당,원주 지역 민주화 운동의 상징인 성당 관광지 민주화운동 역사속 역사이야기 역사탐방 원동성당 원주 종교
완택산,천혜의 요새라고 불리는 200대 명산 강원권 관광지 등산 등산로 서울근교여행 영월여행 자연 자연좋은곳
심원사(태백),태백산 중턱에 위치한 사찰 관광지 불교 불교문화 불교사찰 사찰 사찰여행 자연속으로 종교
강촌 출렁다리공원,젊음이 가득했던 강촌의 옛 추억들이 담겨 있는 공원 가족과함께 경치여행 경치좋은곳 관광지 등선교 자연풍경 자연환경
강릉 안목해맞이공원,사계절 어느 때나 편안한 휴식을 즐길 수 있는 공원 강릉가볼만한곳 강릉여행 관광지 바다내음 아이와함께 안목해변 해맞이
유일사,태백지역의 유일한 비구니 사찰 관광지 불교 불교문화 불교사찰 사찰 사찰여행 자연속으로 태백여행
선바위산(영월),동양화처럼 아름답고 신비한 산 강원권 경치좋은곳 관광지 등산 사계절 서울근교여행 선바위산 월간_사진_제보_이벤트
장미공원,아름다움과 향기가 넘치는 공간 관광지 문학산 문학장미공원 장미근린공원 장미꽃명소 장미꽃축제 장미여행지
대관령 주주파크,동물과 함께하는 체험형 목장 관광지 남녀노소 아이와함께 이색체험 휴식여행 힐링여행
라디오스타박물관,라디오의 탄생과 발전 강원권 강원권여행 라디오스타 라디오스타박물관 문화시설 영월 영월여행
홍천동키마을,당나귀를 테마로 하는 다채로운 이색체험 관광지 체험공간 홍천군
동강전망자연휴양림,숲 속의 작은 집으로 떠나는 힐링 여행 강원웰니스관광지 관광지 웰니스관광 정선웰니스관광
횡성 안흥장,영서와 영동을 연결하는 교통의 요충지 강원 쇼핑 안흥 안흥장 월간_사진_제보_이벤트 횡성
추암해변,기암괴석이 늘어선 해안 절경과 해돋이 명소로도 유명한 곳 강원권 강원웰니스관광지 관광지 댕댕이와밤밤곡곡 동해바다 동해안
봉포항,봉포리 어민들의 삶의 터전 DMZ DMZ여행 강원 고성 관광지 항구
소이산,때 묻지 않은 자연을 간직한 철원 역사의 중심 관광지 산 소이산생태숲 정상전망 철원관광지 철원군
만항재,야생화가 조화를 이루는 천상의 화원 관광지 눈꽃명소 드라이브여행 만항재 만항재운탄고도 운탄고도 월간_사진_제보_이벤트
삽슬봉(아이스크림 고지),전쟁의 아픔이 서려있는 곳 경치여행 경치좋은곳 관광지 등산 등산객 자연 자연관광지 자연속으로
용평워터파크,대관령 맑은 물로 채워진 용평워터파크 가족과함께 가족여행 관광지 남녀노소 물놀이 물놀이장 실내수영장
영모전,비운의 왕 조선 단종의 영정이 있는 사당 강원권 관광지 교과서속여행 역사 역사관광지 역사탐험 영모전 유적지
홍천 동창보수로 및 암각명,지역 일대의 개척과 관련된 농경 유적 관광지
강릉 오금집,강릉의 유일한 초가집 강릉 강릉가볼만한곳 강릉여행 강원여행 관광지 역사 역사관광지
평창 운흥사 천룡탱화,우리나라의 우수한 문화적 수준을 알리다 관광지
평창 오대산사고,조선왕조실록과 왕실의 족보를 보관하던 조선 후기 사고 강원 관광지 문화재 평창
태백산석장승,태백산맥으로 오르는 길 양쪽에 서 있는 돌장승 관광지 석장승 역사공부 역사문화 역사문화재 역사속 역사속으로
심원암 토불 및 부도,역사와 자연을 함께 느낄 수 있는 여행 관광지
본적사지3층석탑,태백산 일대의 불교문화 전파 경로와 시기를 추정할 수 있는 자료 관광지 역사공부 역사관광지 역사를품은곳 역사문화재 역사속 역사속으로
산악자전거 자운리코스,산악자전거를 타며 즐기는 수려한 경치와 맑은 공기 강원도 레포츠 산악자전거 자전거 홍천
연어 자전거길,전국 유일 연어의 회귀로 따라 떠나는 자전거 여행 레포츠 양양군 연어자전거길 자전거 트래킹
춘천 자전거길,사계절 즐길 수 있는 춘천 자전거길 레포츠
재동유원지,시원한 송림과 옆으로는 맑은 하천이 흐르는 유원지 가족과함께 관광지 아이와함께 자연여행 자연풍경 자연환경 휴식공간
혈거유지,신석기시대 주거지 유적 관광지 역사공부 역사를품은곳 역사문화재 역사속 역사속으로 역사여행
강변저류지,온 가족이 즐길 수 있는 생태 관광지 가족여행 강변저류지 관광지 산책 산책로 생태관광 생태관광명소
기린사우나,깨끗한 온천수로 몸과 마음을 힐링하는 시간 강릉 강원도 관광지 사우나 온천 온천욕 힐링
사이클경기장,국제 사이클 대회가 열리는 곳 레포츠 사이클경기장 사이클선수권대회 이색체험
동해 웰빙레포츠타운,동해 시민들의 체육문화 공간이자 휴식공간 레포츠
동강시스타CC,
소치길,작은 마을의 경관을 느낄 수 있는 길 걷기여행길 레포츠 월간_사진_제보_이벤트 인제 인제여행 트래킹
김종길 가옥,영서 지방의 민가 형식 가옥 관광지
금강정,푸른 동강과 아름다운 경치 명소 강원 관광지 영월 영화촬영지
고진하 가옥,오랜 역사가 느껴지는 고진하 가옥 관광지 역사공부 역사관광지 역사문화 역사문화재 역사속 역사속으로
경천묘,"신라의 마지막 왕, 경순왕의 영당 관광지 역사 역사공부 역사관광지 역사문화재 원주가볼만한곳 원주관광"
봉산동 석조보살입상,친근한 인상을 가진 고려 시대 석조보살입상 관광지 불교문화 역사공부 역사문화 역사문화 역사문화재 역사속
부흥사지 석탑재,부흥사터에 흩어져 있던 탑의 일부분 관광지 역사공부 역사관광지 역사를품은곳 역사문화재 역사속 역사속으로
비두리 귀부 및 이수,섬세하고 신비한 형태의 화강암 조각 관광지 역사 역사관광지 역사를품은곳 역사문화재 역사속으로 역사유적지
용운사지 삼층석탑,연꽃 장식이 아름다운 고려시대 석탑 관광지
용운사지 석조비로자나불좌상,고려 전기에 만들어진 대좌·광배 갖춘 형태의 불상 강원 관광지 불교 불상 석조비로자나불좌상 원주
원주 원충갑묘역,치악성을 지켜낸 고려시대 공신 원충갑의 묘역 관광지 문화재 원주
원주 흥양리 마애불좌상,입석사에서 가장 오래된 석조물 관광지 불교문화 역사공부 역사관광 역사관광지 역사문화재 역사속으로
[원주굽이길 10코스] 북원역사길,선사시대에서 지금까지의 원주의 역사를 따라 걷는 길 걷기좋은길 레포츠 산책코스 원주굽이길 원주트래킹 월간_사진_제보_이벤트
원주역 급수탑,증기기관차에 물을 공급하기 위해 설치된 건물 관광지 등록문화재 원주
태장동왕녀복란태실비,성종 17년 왕녀 복란의 장수를 빌기 위하여 세운 태실비 관광지 역사공부 역사관광 역사관광지 역사문화 역사문화재 역사속
원주굽이길 원1코스(100고개길),치악산 조망이 펼쳐진 길 100고개길 레포츠 원주굽이길 원주트래킹 월간_사진_제보_이벤트 트래킹
밀부와 밀부주머니,조선 후기 월정사의 불교사적 위상을 보여주는 유물 관광지
[원주굽이길 12코스] 무실과수원길,사람과 자연이 어우러진 길 걷기좋은길 레포츠 산책코스 원주굽이길 원주트래킹 월간_사진_제보_이벤트
장명사,산업재해로 순직한 자들의 위패를 봉안하고 있는 사찰 강원도 관광지 사찰 추모 태백
매화마을 녹색길,산수화처럼 아름다운 마을길 강원여행 걷기좋은길 레포츠 자연 트레킹 평창 평창여행
원성 대안리 느티나무,오랜 세월 자리를 지키며 쉼터 역할을 해온 나무 관광지 교육여행 역사속으로 자연관광지 자연발생 자연여행 자연좋은곳
소양로비석군,춘천 관내 흩어져있던 비석들을 한데 모은 곳 관광지 역사공부 역사관광지 역사문화재 역사속 역사속으로 역사여행
봄내길 1코스(실레이야기길),춘천의 대표적 트래킹 코스 레포츠 문화관광해설사 봄내길 봄내길코스 월간_사진_제보_이벤트 춘천트래킹
[봄내길 2코스] 물깨말구구리길,춘천의 대표적인 트래킹 코스 강원여행 걷기좋은길 레포츠 봄내길 봄내길코스 월간_사진_제보_이벤트
토성민속마을,아름다운 철새의 고장이자 배산임수 지형의 쾌적하고 조용한 마을 가족과함께하는 가족힐링 관광지 아이와함께가기좋은 철원가볼만한곳
[봄내길 3코스] 석파령 너미길,춘천의 자연과 역사를 마주하는 길 레포츠 봄내길 봄내길코스 월간_사진_제보_이벤트 춘천트래킹 트래킹
봄내길 4코스(의암호나들길),춘천에서 대표적인 트레킹 코스 레포츠 봄내길 봄내길코스 월간_사진_제보_이벤트 춘천트래킹 트래킹
[효석문학100리길 2코스] 대화장터 가는 길,용평 여울목에서 대화 땀띠공원에 이르는 시골길 대화장터가는길 레포츠 월간_사진_제보_이벤트 트래킹 평창트래킹 효석문학100리길
오대산 명상의 숲길,자연과 역사가 어우러지는 숲길 레포츠 오대산 월간_사진_제보_이벤트 트래킹 평창트래킹
문화마을 둘레길,봉평 이효석 문화마을을 둘러보는 길 레포츠 문화마을둘레길 트래킹 평창트래킹
방림 천제당길,강원도 평창군 방림면 소재지를 아우르는 길 레포츠 산책코스 월간_사진_제보_이벤트 트래킹 평창트래킹
